Nome,Volume,Num Pagina,Numeração,Categ_atrativo,N° da Subcategoria,N° de Entrada,Categoria,Subcategoria,Localização,Bairro/Colônia,CEP,GPS,Descrição,Descrição2,Área,Celular/Whatsapp,Telefone Fixo/whatsapp,Tombado,Proprietário/Responsável,email,Midias Sociais,website,Reserva,Horário,"Observações, Serviços e Equipamentos",Acessibilidade,Como chegar,Destaque,Data de inauguração,Estacionamento,Capacidade máxima,Restrições,Especialidade,Receitas autorais,Cadastur,N° de Leitos solteiros,N° de Leitos casais,N° de unidades habitacionais,Autoria
Cassino Tower Curitiba Hotel Aeroporto,Volume II,373,361,5,4,8,Equipamentos e Serviços,Hospedagem,"Rua Barão do Cerro Azul, 261",Bairro Aguas Belas,83005-430,"-25.534902289433337, -49.19113572285422","Inaugurado em agosto de 2000 como Holliday Inn, passou pelas marcas Tulip Inn e Mercore. Em 2023 foi aquirido pelo gupo mineiro  Naciona Inn que se destaca pela expansão contínua e pela adaptação às necessidades do mercado turístico e de negócios.","A empresa valoriza a hospitalidade mineira, oferecendo conforto e qualidade de serviços aos seus hóspedes.",Urbana,(41)9 9866-7998,(41) 3074-5000,-,Grupo Nacional Inn,reservas@cassinotowercuritiba.com.br,@hotelcassinotowercuritiba,www.nacionalinn.com.br/hoteis/cassino-tower-curitiba-aeroporto,"Pelo aplicativo do Nacional Inn, por telefone, email e através das principais Agência de Viagens Online (OTAs)",Funciona 24 h,"Atendimento em inglês e espanhol, academia, bar, lavanderia,  recepção 24 h, restaurante aberto ao público, salas de reunião, wi-fi, aceita animais de estimação (consultar tabela de valores).",Sim. Possui rampas de acesso e quarto adaptados para pessoas de mobilidade reduzida.,2 Km do aeroporto; 2 Km do centro; menos de 1 Km da BR 376,"Restaurante possui opções vegetariana, veganas e sem glúten, utiliza temperos naturais, oferece opção de água servida na jarra, pratica coleta seletiva",2000,"Sim, para carros e ônibus",200 pessoas,Fumantes,,,Sim,78,81,120,
Chácara Tapera,Volume II,374,362,5,4,9,Equipamentos e Serviços,Hospedagem,"R. Vila Nova, 4837 - Cachoeira",Cachoeira,83022-400,"-25.63316805810219, -49.21103590423252","A Chácara Tapera proporciona uma experiência  de conexão com a natureza. Possui área para camping, animais, lagoas para prática de pesca esportiva, stand-up ou canoagem.  Um local para  se deconectar,  passar tempo com a família, amigos ou consigo mesmo.","A  área é  particular,  isolada e possui  estrutura para pernoite ou passar o dia. Oferece passeios  com veículos 4x4.",Rural,(41)9 9288-0804,,,Moisés Camargo,,@chacara.tapera,airbnb.com/h/chacaratapera,Pelo Airbnb,,"Wi-fi, estrutura  para camping e moto-home,  espaço para fogueira, bosques, cavalos, lagos para prática de canoagem e stand-up, pesca esportiva e passeios com veículos Off Road",Sim,18 Km do aeroporto; 15Km do centro;  7 Km da BR 376,"Casa rústica, contato com a natureza",,Sim,4 pessoas,"Não fornece  travesseiros, roupas de cama, toalhas e cobertores. Não são aceitos animais agressivos. Não aceita eventos noturnos.",hospedagem rústica e local de eventos,,Não,1,2,1,
Chalé Cambará da Serra,Volume II,375,363,5,4,10,Equipamentos e Serviços,Hospedagem,R. Guilherme Moreno,Estrada do Taquaral Queimado,83149-899,"-25.72754970679198, -49.11169603261457","Oferece um ambiente aconchegante, romântico e sofisticado junto à natureza, onde cada detalhe é pensado para o conforto e o encanto dos hóspedes.","O local é apreciado por casais em lua de mel. Possui estilo típico de  zona rural  e o quarto proporciona vista para um lago.  Possui fogo de fogo no jardim e banheira com hidroterapia,",Rural,(41)9 8747-5383,,-,Gisele Maria e Sergio Ricci,cambaradaserra@gmail.com,@chalecambaradaserra,www.airbnb.com.br/rooms/769690939281827997,Sim. A locação da casa pode ser feita pelo AirbnB,-,"Chalé equipado com cozinha completa, secador,  lanterna, banheira com hidromassagem, roupas de cama, roupões confortáveis. 01 cama de casal, 01 quarto, 01 banheiro,   chuveiro duplo, fogo de chão jardim,  adega, calefator e ar condicionado.",,29 Km até o aeroporto; 28 Km até o centro; 4 Km até a BR 376,Oferece  tábua de frios e cesta de manhã.,,,2 pessoas,,,,Não,0,1,1,
Chale Chamoni,Volume II,376,364,5,4,11,Equipamentos e Serviços,Hospedagem,R. Anna Didi Baptista Gabardo,Borda do Campo,83075-015,"-25.56814491313481, -49.06716671903805","A proposta deste chalé é oferecer um local romântico imerso na natureza. Possui  um arquitetura  estilo chalés dos lugares frios, feito em madeira e está imerso na mata. A cozinha é equipada para os hóspedes prepararem a própria comida.",Permite animais de estimação.,Rural,(41)9 9938-3193,,,,,@chalechamoni,www.holmy.com.br/hospedagem/refugio-romantico-na-natureza/,"Sim, Airbnb e Holmy",-,"Cozinha completa, roupas de cama de algodão, toalhas, lareira, Wi-Fi, conexão Ethernet,  estacionamento, ventiladores, admite estadias longas, lareira, SmartTV",Não,23 Km do aeroporto; 21 Km do centro; 3 Km da BR 277,"Espaço romântico, beleza cênica,  integração com a natureza, tranquilidade, projeto arquitetônico e paisagismo,",,Sim,4 pessoas,"Não possui máquina de lavar nem de secar, não possui aquecimento central",Chalé na mata atlântica,,Não,0,2,2,
Dandelion Cabana,Volume II,377,365,5,4,12,Equipamentos e Serviços,Hospedagem,Rua Domingos Burakowski s/n,Miringuava,83185-000,"-25.692414951363606, -49.10093073938118",O nome tem origem na planta  Dente-de-leão = Dandelion. Uma cabana  confortável  para atender pessoas que gostam de estar em contato com a natureza mas não abrem mão do conforto associada ao  sossego. Apreciada por casais em lua de mel.,,Rural,(41)9 9612-0303,,-,,-,@dandelioncabanas,airbnb.com/h/dandelioncabanas,Pelo Airbnb,-,Oferece cozinha completa e churrasqueira. O hóspede recebe  um cesta de boas vindas com itens de café da manhã. Aceita encomendas antecipadas de massas.,Não,"26 Km do aeroporto aprox; 27,4 Km do centro; 11Km da BR 376","Canana de madeira, confortável e silenciosa dentro da mata",,Sim,2 pessoas,Não aceita animais,cabana de madeira confortável e silenciosa,-,Não,0,1,1,
Dom Pablo Hoteis,Volume II,378,366,5,4,13,Equipamentos e Serviços,Hospedagem,"R. Carolina Manafes Ligoki, 305",Barro Prêto,83015-805,"-25.5849050925472, -49.174598551546595","Hotel econômico e bem localizado na cidade, é muito procurado por pessoas que buscam hospedagens rápidas. Dispõe de quartos preparados para famílias e exclusivos para não fumantes. Aceita animais de estimação.",,Urbana,,(41) 3587-1044,,,contato@dompablohoteis.com.br;     dompablohoteis@gmail.com,https://www.facebook.com/profile.php?id=61556382435512,www.dompablohoteis.com.br,Sim,,,Sim,9 Km até o aeroporto; 8 Km até o centro; encontra-se na BR 376,,,Sim,60 pessoas,,Hotel econômico,,Não,30,19,36,
Dom Ricardo - Bourbon Hotel,Volume II,379,367,5,4,14,Equipamentos e Serviços,Hospedagem,"Avenida Rocha Pombo, 2400",Águas Belas,83010-620,"-25.53322919382744, -49.193288804594424","O hotel combina alta qualidade com conveniência, ideal para quem busca uma hospedagem com facilidades e próxima ao aeroporto. É também uma referência na realização de eventos, com espaços climatizados e bem equipados. Oferece fácil acesso às principais avenidas da região, serviços 24 horas, café da manhã a partir das 4h30 e translado gratuito entre o aeroporto e o hotel no check-in e no check-out. Dispõe ainda de bar e restaurante com gastronomia refinada.",,Urbana,,(41)3299-2400,,,reservas@bourbon.com.br,,https://bit.ly/DOMRICARDOSJP,Sim,24h,,"Sim, para cadeirantes","2,5 Km até o aeroporto; 2 Km até o  centro;  6 Km até a BR 116",Oferece Petit Café das 4:30h às 6:00h,,Sim,148 pessoas,Não aceita animais,,,Não,34,57,124,
Estância Belvedere,Volume II,380,368,5,4,15,Equipamentos e Serviços,Hospedagem,"Rua Izaura Ravaglio da Rocha, s/n",Campo Largo da Roseira,,"-25.720904827135346, -49.15411491957311","Estância com  chalé de madeira estilo canadense,  oferece uma estadia aconchegante e relaxante, com espaço para até quatro pessoas que desejam  passar momentos tranquilos no campo. Local apreciado  por ciclistas.",A casa possui dos quartos e compota 4 pessoas (2 casais). Os hóspedes podem desfrutar da espaçosa varanda com redes e têm acesso exclusivo às belas áreas comuns. Possui plantação de alcachofras orgânicas e outros frutos interessantes como o frisalis. Pont,Rural,(41)9 9115-9833,,,,estanciabelvedere@estanciabelvedere.com.br,@estancia.belvedere,https://estanciabelvedere.com.br/,"Sim, Airbnb",-,"Dispõe de uma cama de casal no mezanino e um sofá-cama de casal na sala, banheiro com chuveiro elétrico de água quente, cozinha mobilhada com fogão e geladeira com freezer, sala com lareira e estacionamento gratuito, casa na árvore",,"24 Km do aeroporto, 22,7 do centro; 2,7 Km da BR 376;","Ambiente rústico,  plantações orgânicas, cultivo de alcachofra, beleza arquitetônica, paisagismo relaxante",,sim,4 pessoas,,,,Não,1,2,2,
Estância Carmello,Volume II,381,369,5,4,16,Equipamentos e Serviços,Hospedagem,"Rua Maurício Schulies, 1204",Colônia Murici,83185-000,"-25.640436858473784, -49.04227437724856",Foi criada com o conceito de oferecer para os hóspedes a casa de campo que  poderiam ter. Possui opção de incluir o café campeiro  na hospedagem.  Não oferece refeição. Atende familias especiais. Autistas e idosos não pagam.,"O  local possui quatro tipos de cabaa:  Bem-te-vi,  Gralha Azul, Chalé Baitaca e Chalé Grimpeiro, todas com cozinha equipada e capacidades de pessoas diferentes.  Todas possuem camas de casal e beliches. Aceita reserva de grupos. Ambiente familiar.",Rural,(41)9 9622-4034,,-,Sônia Beatriz de Paula,estanciacarmello@gmail.com,@estanciacarmello,estanciacarmello.com.br,Sim,-,"As cabanas e chalés possuem cozinha equipada, churrasqueira, varanda para rede. Oferece acesso livre para  piscina, banheira de hidromassagem, redário, playground, local para futebol e vôlei, além de uma extensa área verde.  Wi fi somente em alguns pontos",Sim,"a 4 km da  Capela Nossa Sra do Perpétuo Socorro - Capela da Antinha (mas não na mesma rua da capela).
25 Km do aeroporto; 26 Km do centro; 18 Km da BR  376",Referência em conservação em água e natureza,2014,"Sim, próximo das cabanas",47 pessoas,Possui restrição a fumantes. Pets devem ficar na companhia dos donos.,Experiência de casa de campo,,Não,16,7,11,
Exclusivo Hotel,Volume II,382,370,5,4,17,Equipamentos e Serviços,Hospedagem,"R. Ten. Djalma Dutra, 200",Centro,83005-360,"-25.532855046236545, -49.196790009767795","Hotel três estrelas, fundado há mais de duas décadas, possui localização estratégica, a menos de 10 minutos do aeroporto. Apresenta boa relação custo-benefício para viajantes em conexão aérea. Conta com restaurante aberto ao público e salas para reuniões e eventos, sendo uma com capacidade máxima para 40 pessoas e outra para até 15 pessoas.", O café da manhã é servido das 6h às 10h.,Urbana,(41) 8833-2139,(41)30283800,,,reservas@hotelexclusivo.com.br,@hotel_exclusivo,hotelexclusivo.com.br,Sim,24h,"Oferece Wi-Fi gratuito, estacionamento self-service sem custo, restaurante aberto das 6h às 22h, com buffet de café da manhã incluso, bar/lounge,  business center 24h e sala de TV/leitura. Dispõe de quartos adaptados para acessibilidade, berços infantis, acomodações antialérgicas, ar-condicionado, frigobar e TV.",Sim,"3 Km até o aeroporto; 1,5 Km até o centro; 450 m da Av. das Torres; ",Aceita animais domésticos mediante taxa por estadia. Cães-guia não pagam.,,Sim,80 pessoas,,,,Não,87,34,68,
Ibis Budget Curitiba Aeroporto,Volume II,383,371,5,4,18,Equipamentos e Serviços,Hospedagem,"Avenida Rocha Pombo, 2600",Águas Belas,83005-430,"-25.53440080448198, -49.19029284947423",Hotel econômico que segue o padrão Ibis  e bem localizado na cidade. É muito procurado por pessoas que buscam hospedagens rápidas. Dispõe de quartos preparados para famílias e exclusivos para não fumantes., Os hóspedes podem desfrutar e relaxar no lounge bar no local. Nos fins de semana um pequeno-almoço expresso é servido das das 6:00h às 10:00h.,Urbana,(41)9 9161-8451,(41) 2108-9700,-,André Câmara Trevisan,h9719-re@accor.com,@ibisbudgetcuritibaaero,https://all.accor.com/hotel/9719/index.pt-br.shtml,Sim,Funciona 24 h,"Possui atendimento em inglês, espanhol e português, serviço 24 horas; estacionamento privativo, wi-fi, quartos para famílias, quartos para não fumantes, instalações para pessoas com deficiência, diária com café da manhã.","Possui vagas exclusivas, rampa de acesso, porta de acesso, elevadores e apartamentos adaptados.","2 Km do aeroporto;  1,5 Km do centro;  3 Km da BR 376",Possui quartos reservados  para não fumantes. Aceita animais de estimação mediante taxa diária.,2016,Sim,250 pessoas,,Hotelaria,-,Sim,134,109,138,
Ibis Curitiba Aeroporto,Volume II,384,372,5,4,19,Equipamentos e Serviços,Hospedagem,"Av. Marginal Br-376, 1633",Jardim Cruzeiro,83015-000,"-25.53566305215974, -49.19250647636592","Hotel econômico três estrelas, da rede Accor, projetado para oferecer conforto e praticidade aos viajantes. Posicionado estrategicamente à margem da BR-376, próximo ao aeroporto, com acesso facilitado tanto pela rodovia quanto por táxi/transfer. O café da manhã vai das 6h às 10h e está sujeito a variações.","Oferece café da manhã em formato buffet (opcional) e serviço de jantar à la carte no restaurante interno, estacionamento gratuito com até 50 vagas, recepção 24h, bar/lobby, loja de conveniência com snacks e bebidas disponíveis a qualquer hora.",Urbana,,(41) 2109-6650,,,h3736-re@accor.com,,,Pelo site ou agências de viagem,Funciona 24 h,"Restaurante aberto ao público. Dispõe de quartos com ar-condicionado, lavanderia, frigobar, TV via satélite e Wi-Fi. Há opções para até três pessoas e quartos adaptados para pessoas com mobilidade reduzida. ",Sim,2 Km até o aeroporto;  2 Km até o centro;  encontra-se na BR 376,Restaurante aberto ao público. Aceita animais domésticos mediante taxa diária.,,Sim,250 pessoas,Aceita animais de estimação até 15 Kg.,Hotelaria,,Não,94,20,114,
Ibis Styles Curitiba Hotel Aeroporto,Volume II,385,373,5,4,20,Equipamentos e Serviços,Hospedagem,"Av. Rocha Pomba, 2600",Águas Belas,83005-430,"-25.534175401494135, -49.19050791294204","O hotel possui  design contemporâneo, com uma decoração inspirada na Mata Atlântica, importante bioma brasileiros no qual a cidade de São José dos Pinhais está inserida.","Conta com quartos espaçosos e confortáveis, equipados com janelas antirruído, garantindo aos hóspedes uma estadia tranquila. Possui acomodações para até 4 pessoas e aceita animais de estimação.",Urbana,,(41) 3096-3777,-,-,hb608-re@accor.com,@ibisstylescuritibaaero,https://bit.ly/3BvGAyX,Pelo site ou agências de viagem,Funciona 24 h,"Possui salão para eventos, auditório, coworking, sala multiuso, restaurante aberto ao público,  com opçõies vegetarianas, veganas e sem glúten; atendimento em espanhol e inglês.",Sim,"2 Km do aeroporto;  1, 5 Km do centro;  400 m da Av. das Torres",Propriedade 100% para não fumantes. Aceita animais de estiimação.,2017,Sim,350 pessoas,Não pode fumar nas áreas do hotel. Aceita animais de estimação até 15 Kg,Hotelaria,-,Não,50,110,160,
La Doce Vita Park,Volume II,386,374,5,4,21,Equipamentos e Serviços,Hospedagem,"BR-376, Km 623",Campo Largo da Roseira,83010-500,"-25.655400440179644, -49.157859751584226","Com uma área de 38.000 m², o hotel está imerso na natureza e combina o charme da arquitetura rústica com o conforto de uma infraestrutura moderna, sendo uma excelente opção para famílias e grupos que apreciam esse estilo acolhedor e descontraído. Durante o período de férias, o hotel oferece programação especial, com eventos temáticos, cardápios típicos juninos e a tradicional feijoada aos sábados. O restaurante interno serve buffet de café da manhã americano, além de petiscos e pratos à la carte, sempre com foco na qualidade e no sabor regional.","Para de lazer, os hóspedes contam com uma ampla área equipada com piscina térmica coberta e externa, hidromassagem, sauna a vapor, salão de jogos com sinuca e mesa de pingue-pongue, playground, quadra poliesportiva, campo de futebol, cadeira de massagem, academia e um aconchegante redário.",Rural,(41) 99993-3670,(41) 3134 -8500 ,-,,reservaspark@hotelladocevita.com.br, @ladolcevita_parkhotel,www.hoteisladolcevita.com,"Pelo site, formulários de reserva",Funciona 24 h,"O hotel possui restaurante aberto ao público,  bar, salão de eventos, minifazendinha, Wi-Fi com boa velocidade, estacionamento gratuito, recepção 24h, além de serviços de lavanderia e loja de conveniência. Os chalés e suítes são equipados com ar-condicionado, TV, minibar e varanda com vista para os jardins, garantindo comodidade e contato direto com a paisagem natural. ",Sim,16 Km até o aeroporto; 15 Km até o centro;  a entrada está a 100 m da BR 376,Aceita animais de estimação  de pequeno porte e dóceis mediante taxa de 10% do valor da diária.,,Sim,47 pessoas,O hotel tem regras específicas para hospedagem de animais de estimação. Consultar regras no site.,Hospedagem em ambiente  rústico com infraestrutura moderna,,Não,21,26,26,
Marrevi Home Hotel,Volume II,387,375,5,4,22,Equipamentos e Serviços,Hospedagem,"R. Araça, 150 - Faxina",Faxina,83023-400,"-25.765411569385122, -49.198495165866724","Situado na área rural, oferece três chalés e uma casa principal em um ambiente tranquilo na área rural da cidade. Com vasta área verde, parquinho infantil, deck com piscina e espaço para preparar  costela  ao fogo de  chão, proporciona momentos tranquilos","Ideal para grupos de famílias e amigos, não disponibiliza quartos individuais. A hospedagem completa inclui serviços de caseiro, arrumadeira e auxiliar de cozinha. Possui opção de pensão completa, com chef de cozinha disponível.",Rural,(41)9 9113-3505,,-,-,marcoscalbente@hotmail.com,@marrevihotel,bit.ly/Reserve-Aqui-Marrevi-Home-Hotel,Pelo Airbnb,-,"3 chalés novos para casais, casa principal com 1 suíte de casal, 1 quarto com 3 camas de solteiro e 1 quarto de casal, espaço gourmet completo com churrasqueira a carvão, com grelha e espeto giratório, louças e utensílios, salão de jogos, salão de festas",Não,33 Km do aeroporto; 32 Km do centro; 3 Km da BR 376,Aceita animais de pequeno porte,-,Sim,13 pessoas,-,"Hospedagem em chalés, hospedagem completa com chef de cozinha",-,Não,1,5,6,
Pinheirão - Pousada,Volume II,388,376,5,4,23,Equipamentos e Serviços,Hospedagem,"BR 376, Km 11, 2122",Jardim Cruzeiro,83010-500,"-25.540389263878346, -49.19186281001463","Um dos primeiros hotéis da cidade,   esta localizado  às margens da BR 376, servindo de opção de estadia para  viajantes, comerciantes e vendedores que transitam pela rodovia.",Possui um ponto de parada de ônibus intermunicipais em frente à sua portaria e está situado em frente à Churrascaria 2000.,Urbana,(41)9 9189-9088,(41) 3384-3204,,Bárbara Kaesemodel,barbara.kaesemodel@live.com,-,-,Pelo atendimento do hotel,Funciona 24 h,"É um hotel simples, oferece  café da manhã incluso na diária, wi-fi e lavanderia.",Sim,3 Km do aeroporto; encontra-se na região central; está situada na BR 376,,1974,Sim,70 pessoas,-,Hotelaria,-,Não,30,20,30,
Rancho do Sena Pousada Ecológica,Volume II,389,377,5,4,24,Equipamentos e Serviços,Hospedagem,"R. São Josemaria Escrivá, S/N, após o pesca e pague Papanduva",Papanduva da Serra,83085-344," -25.61966094384478, -49.04465978838575","O Recanto é um local acolhedor, funcionando como um refúgio rural em uma região onde fazer trilhas e pescar é bastante popular. Possui serviço de concierge e oferece parquinho infantil. Disponibiliza café da manhã em estilo buffet ou vegetariano, quartos para não fumantes, quartos para famílias, bilhar e estacionamento gratuito",,Rural,(41)9 9154-7958,,,,recantodosena@gmail.com," @pousadaranchodosena_
",https://bit.ly/SENAPOUSADASJP,Pelo site,-,"Sua recepção funciona 24 horas. Oferece serviço de transfer, serviço de quarto e Wi-Fi grátis em toda a propriedade. Os quartos estão equipados com chaleira/cafeteira, roupa de cama e toalhas.",,22Km até o aeroporto;  22 Km até o centro;  16 Km até a BR 277,,,,16 pessoas,,,,Não,8,4,5,
Recanto do Alvorecer,Volume II,390,378,5,4,25,Equipamentos e Serviços,Hospedagem,"R. Vila Nova S/N, próximo à Cerâmica RR",Cachoeira,83022-400,"-25.63169164741982, -49.21159740357095","Casa de campo aconchegante, indicada para  casais, famílias ou grupos de amigos. Oferece um campo extenso, um bosque com animais nativos e um lago cristalino. Possui dois andares, redes na varanda, fogão e lareira, proporcionando o calor e tranquilidade.","Os hóspedes podem explorar toda a chácara, incluindo trilhas pelo bosque e avistamento de diversas espécies nativas, tornando a estadia uma experiência imersiva na natureza.",Rural,(41)9 9252-4858,,,Glaucio Olimpio Pereira,-,@recantoarvorecer,rb.gy/imylb,"Sim, pelo Airbnb",-,"Casa de campo completa para família e amigos; wi-fi, amplo gramado para esportes e camping para crianças. 
3 quartos, 2 banheiros, cozinha completaredes na varanda, forno e fogão a lenha, churrasqueira, pebolim, lagoa para pesca mediante autorização.",Parcial,"18 Km até aeroporto;  15 Km do centro; 7,5 Km da BR 376","Avistamento de vários animais nativos,  trilha pelo bosque de araucárias e árvores nativas",-,sim. Há espaço para três carros na garagem,10 pessoas,Não possui máquina de lavar roupas,Casa de campo,-,Não,2,3,3,
Recanto Maranatha,Volume II,391,379,5,4,26,Equipamentos e Serviços,Hospedagem,"Rua Henrique Burakowski, s/n",Contenda,83090-214,"-25.683048089044984, -49.12562365026958","O Recanto é um espaço para eventos que combina arquitetura rústica e moderna, indicado para cerimônias ao ar livre, confraternizações e encontros corporativos. Rodeado pela natureza, conta com uma infraestrutura completa que, aliada à sua arquitetura versátil, permite que o local seja adaptado a diferentes tipos de eventos, tanto sociais quanto corporativos. A recepção de casamentos é um dos principais destaques do espaço.",,Rural,(41) 99323617,41 3122-7276,,,atendimento@escrisul.com.br, @recantomaranatha; ,https://www.casamentos.com.br/chacara-casamento/recanto-maranatha--e187614,"Sim, pelos sites de reserva  e Airbnb", -,"O que oferece ao público:
Salões e áreas externas: salão de banquetes, capela, pergolado, trilhas, campo de futebol, quadra poliesportiva, playground, lago e espaços para cerimônias 
Lazer e infraestrutura: piscinas adulta e infantil, piscina coberta, salão de jogos, tirolesa, paredão de escalada e campo esportivo 
Hospedagem: casa principal com 3 quartos, cozinha coletiva, além de acomodações para até 40 pessoas privativas, totalizando aproximadamente 8 suítes com varanda e sala de estar ", -,23 Km até o aeroporto;  23 Km até o centro; 3 Km até a BR 376,,,Sim,40 pessoas com possibilidade de expansão,,Casa de campo,,Não,30,5,Não informado. Há quarto para hospedagem de grupos,
Recanto Mavi,Volume II,392,380,5,4,27,Equipamentos e Serviços,Hospedagem,"Rua José Zancheta, 4900",Campina do Taquaral,,"-25.61145873520566, -49.21018952977128","Hospedagem rural situada nas Rotas das Colônias, criada com o objetivo de oferecer uma hospedagem rural acolhedora para que os hóspedes possam fugir do estresse e se reconectar com a natureza.","Os chalés foram projetados combinando o conforto moderno com o charme rústico do campo. O nome “Mavi” foi criado em homenagem às famílias das proprietárias, sendo formado pela junção de dois sobrenomes: “Massier” e “Vieira”.",Rural,(41)9 8766-4494,(41) 8532-9692,-,Rosi Massier,recantomavi@gmail.com,@recantomavi.sjp,www.rotadascolonias.com.br/associado/recanto-mavi-hospedagem-rural/;,www.booking.com/hotel/br/recanto-mavi.pt-br.html ,-,"Os chalés possuem um quarto com cama queen, roupa de cama, toalhas, um sofá-cama, lareira, frigobar, piso frio, cozinha equipada com micro-ondas, TV, banheiro, varanda térrea com área para refeições ao ar livre e vista para o jardim. Aceita animais domésticos",-,14 Km até o aeroporto; 11 Km até o centro; 7Km até a BR 376,-,-,Sim,8 pessoas,-,Chalés,-,Não,2 sofás camas,2,2,
Rezende Hotel,Volume II,393,381,5,4,28,Equipamentos e Serviços,Hospedagem,"R. José Trevisan, 1283",São Marcos,83090-090,"-25.609628883576708, -49.17078245558985","Hotel familiar simples, localizado no bairro Miringuava/São Marcos. Oferece conforto funcional, em um ambiente tranquilo, com uma estrutura básica e boa relação custo-benefício para quem precisa se hospedar nessa região. A hospedagem inclui um café da manhã simples e o atendimento é feito em horário comercial. ",,Urbana,,(41) 3382-9179,-,,hotelrezende@yahoo.com.br,,,"Por telefone,  durante o horário comercial ou por email e sites de reserva",24h,Apartamentos simples equipados com TV,Não,11Km até o aeroporto;  10 Km até o centro;  100 m até a BR 376,É uma das poucas opções de hospedagem na região. Costuma ser elogiado por clientes pela limpeza e boa relação custo-benefício. ,,Sim,24 pessoas,Não atende grupos grandes. Não aceita animais de estimação e não possui restaurante.,,,Não,16,4,20,
Rio Burbon Hotel,Volume II,394,382,5,4,29,Equipamentos e Serviços,Hospedagem,"Av. Rocha Pombo, 2564",Águas Belas,83010-620,"-25.533679290312694, -49.19123096865038","O hotel alia praticidade e   conveniência para quem procura se hospedar próximo ao  aeroporto. Possui salas climatizadas  para eventos,  fácil acesso às principais avenidas da região. Oferece serviço de quarto e segurança 24h, lavanderia, academia e café à partir de 4:30.   Possui bar e restaurante com opções de almoço e jantar.",,Urbana,,(41)3778-6800,-,-,reservas@bourbon.com.br,@bourbonhoteis,www.bourbon.com.br/hotelrio/rio-hotel-by-bourbon-curitiba-aeroporto,Sim,24h,Oferece o Petit Café a partir das 4:30h,Sim,2 Km até o aeroporto;  2 Km até o centro; 400 m da Av. das Torres;  6 Km até a BR 376 e 116,Petit café servido a partir das 4:30h.,,Sim,276,Alguns serviços não são inclusos em todos os pacotes. Consultar datas e horário de funcionamento de espaços e restaurantes.,,,Não,64,74,156AM373,
Sítio Eco-Betel,Volume II,395,383,5,4,30,Equipamentos e Serviços,Hospedagem,"Rua Arthur Carvalho da Rocha, 2506",Roça Velha,83149-899,"-25.687033222706855, -49.117473235420135",Espaço de lazer para família cristã planejado junto à natureza.,"Local é de fácil acesso  onde hospedes podem desfrutar mata nativa, ambiente para relaxamento, meditação e oração.",Rural,(41)9 9728-3207,,-,Keila Azevedo e Sérgio Aparecido Guimarães,sitioecobetel@gmail.com,@sitioecobetel,https://sitioeco-betel.com.br,Pelo whatsapp,Funciona 24 h,"Possui 6.000  de mata nativa com trilhas e nascentes; Estufa de morango,; área para fogueira, deck para rede.",,32 Km do aeroporto; 30 Km até o centro; 3 Km até a BR 376,"Cesta de café da manhã, quadra poliesportiva, área de pesca e lazer infantil",,,6 pessoas,"Não aceita pets, fumantes, bebida alcoólica",Turismo Rural,,FALSO,0,2,2,
Slavieiro Curtiba,Volume II,396,384,5,4,31,Equipamentos e Serviços,Hospedagem,"Avenida das Torres, 3450",Centro,83050-010,"-25.53608738244876, -49.19411016074439","Localiza-se na região central de São José dos Pinhais, na principal via de acesso à Curitiba e a menos de 3 km do Aeroporto Internacional Afonso Pena.","Esta unidade  possui estação de recarga para veículos elétricos, serviço de quarto 24h e café da manhã diariamente servido às 5h.",Urbana,(41)9 9287-5412,(41) 2170-4050,-,Slavieiro Hotéis,reservas.seca@slavierohoteis.com.br,@slavierohoteis,www.slavierohoteis.com.br,Pelo site,Funciona 24 h,"Serviço de quarto 24h, estação de recarga para veículos elétricos, possui opções veganas, sem glúten e vegetarianas, restaurante aberto ao público, atendimento em espanhol, inglês e italiano, academia de musculação, wifi, lavanderia, salão de eventos",Sim,"3,5 Km do aeroporto; 4 Km do centro;  está a menos de 100 m da BR 376",Café da manhâ servido às 5:00h diariamente; carregador para carro elétrico,-,Sim,206 pessoas,-,-,-,Não,82,124,165,
Space 4U - Hotel,Volume II,397,385,5,4,32,Equipamentos e Serviços,Hospedagem,"Rua Tereza Nester, 305",Afonso Pena,83045-290,"-25.510705224895577, -49.18241682639223",O Space 4U funciona em um antigo co-working cujo proprietário era apaixonado pela Volkswagen. O local foi transformado em um hotel rústico temático e  incluiu objetos decorativos que remetem ao passado. Muito procurado pelos amantes  da Kombi.,"O Bar-Kombi  é um dos destaques, sendo um dos espaços instagramáveis do local.  A proprietária gerencia  pessoalmente o  empreendimento usando recursos tecnológicos  que facilitam o controle e a segurança, dando vida e personalidade ao local e mantendo o",Urbana,(41)9 9570-7119,,-,Patrícia Mateus,space4u@gmail.com,@space4uhotelboutiquesjp,-,Diretamente no local ou no Booking.com,Das 07:00h às 23:00h,"A cozinha fica disponível para os hóspedes,  organiza eventualmente alguns eventos gastronômicos para hóspedes, vende algumas utilidades no local; amantes da combi utilizam o espaço para tirar fotos instagramáveis.",Não,6 Km do aeroporto; 4 Km do centro; 3 Km da BR 277,Espaços instagramáveis apreciados pelos amantes da Kombi; local procurado por pessoas que visitam a cidade para customizar kombis e kombi homes.,2020,Não. Local fácil de estacionar,35 pessoas,Diária não inclui café da manhã; não atende casais com crianças pequenas; não  aceita animais de estimação.,Hotel temático apreciado por amantes de Kombi,-,Não,02,06,16,
